Pitches,Pitcher,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,spin_rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K_percent,BB_percent,hard_hit_percent,barrel_percent,ERA_t1,Salary,salary_t1,BFP_per_G,BABIP_minus_meanBABIP,xwOBA_minus_wOBA,ERA/Barrel %,ERA/Hard Hit %,luck_adj_ERA,.pred
3212,Zack Greinke,2018,0.231,0.273,0.286,0.31,0.249,181,784,2257,85.3,15,11,33,839,3.21,181,28,43,199,0.237,0.051,33.5,6.4,2.9,34000000,17.356469882001587,25.424242424242426,-0.0231,0.02400000000000002,0.502,0.096,3.47,17.43849483103084
3212,Jacob deGrom,2018,0.196,0.283,0.23,0.249,0.203,152,776,2292,92.6,10,9,32,835,1.7,152,10,46,269,0.322,0.055,28.9,4.1,2.43,7400000,16.06680235657077,26.09375,-0.0131,0.01899999999999999,0.415,0.059,2.26,16.341663082978627
3181,Corey Kluber,2018,0.224,0.277,0.27,0.285,0.233,179,800,2419,88.7,20,7,33,842,2.89,179,25,34,222,0.264,0.04,34.5,6.4,5.8,10700000,16.689075197544057,25.515151515151516,-0.0191,0.014999999999999958,0.452,0.084,3.26,16.613826801651726
3142,Patrick Corbin,2018,0.218,0.304,0.265,0.289,0.236,162,742,2279,85.2,11,7,33,800,3.15,162,15,48,246,0.308,0.06,35.6,6,3.25,7500000,16.374028973482616,24.242424242424242,0.0079,0.023999999999999966,0.525,0.088,3.45,16.06928958631546
3096,Rick Porcello,2018,0.241,0.286,0.303,0.314,0.245,177,735,2415,86.1,17,7,33,808,4.28,177,27,48,190,0.235,0.059,35.7,7,5.52,21125000,16.865967731207512,24.484848484848484,-0.0101,0.01100000000000001,0.611,0.12,4.32,17.02822376599442
3077,Jake Odorizzi,2018,0.242,0.293,0.322,0.337,0.247,151,625,2130,87.2,7,10,32,711,4.49,151,20,70,162,0.228,0.098,39,7.4,3.51,6300000,16.06680235657077,22.21875,-0.0031,0.015000000000000013,0.607,0.115,4.56,15.877037942072477
3068,Jose Berrios,2018,0.222,0.271,0.292,0.301,0.227,159,717,2187,88.8,12,11,32,797,3.84,159,25,61,202,0.253,0.077,34.4,6,3.68,570000,13.337474757021274,24.90625,-0.0251,0.009000000000000008,0.64,0.112,3.91,14.834539850776657
3061,Cole Hamels,2018,0.246,0.293,0.325,0.339,0.26,176,715,2010,87.5,5,9,20,502,4.72,115,23,42,114,0.227,0.084,35.9,7.5,3.81,22500000,16.811242831518264,25.1,-0.0031,0.014000000000000012,0.629,0.131,4.67,16.998957218093913
2844,Dylan Bundy,2018,0.274,0.318,0.363,0.33,0.249,188,685,2335,86.7,8,16,31,750,5.45,188,41,54,184,0.245,0.072,37.4,8.5,4.79,1640000,14.845129975145433,24.193548387096776,0.0219,-0.032999999999999974,0.641,0.146,5.3,15.043250168966324
2755,Andrew Heaney,2018,0.248,0.296,0.31,0.316,0.247,171,689,2357,87.1,9,10,30,749,4.15,171,27,45,180,0.24,0.06,37.2,7.8,4.91,800000,15.03928598958639,24.966666666666665,-1e-4,0.006000000000000005,0.532,0.112,4.29,14.87941915727325
2688,Charlie Morton,2018,0.213,0.284,0.293,0.289,0.21,130,609,2415,90,15,3,30,695,3.13,130,18,64,201,0.289,0.092,31,5.8,3.05,8875000,16.523560759066484,23.166666666666668,-0.0121,-0.0040000000000000036,0.54,0.101,3.34,16.15650597613878
2603,James Paxton,2018,0.224,0.301,0.287,0.293,0.225,134,598,2185,91.3,11,6,28,645,3.76,134,23,42,208,0.322,0.065,42.1,9.4,3.82,4900000,15.964361551016278,23.035714285714285,0.0049,0.006000000000000005,0.4,0.089,4.14,15.383785187945698
2552,Mike Minor,2018,0.235,0.259,0.312,0.327,0.247,138,587,2472,88.9,12,8,28,640,4.18,138,25,38,132,0.206,0.059,35.3,10.8,3.59,8333333,16.10128849874363,22.857142857142858,-0.0371,0.015000000000000013,0.387,0.118,4.38,15.923984728471158
2505,Chris Archer,2018,0.268,0.339,0.33,0.32,0.25,155,579,2284,91,3,5,17,413,4.31,102,11,31,102,0.247,0.075,38.7,6.4,5.19,6416666,15.852392659138342,24.294117647058822,0.0429,-0.010000000000000009,0.673,0.111,4.36,15.837088646314081
2412,Noah Syndergaard,2018,0.25,0.323,0.286,0.272,0.232,148,592,2072,93.7,13,4,25,644,3.03,148,9,39,155,0.241,0.061,26.6,2,4.28,2975000,15.60727002719233,25.76,0.0269,-0.013999999999999957,1.515,0.114,2.48,15.405274114583252
2398,Masahiro Tanaka,2018,0.24,0.286,0.307,0.311,0.247,141,588,2031,86.7,12,6,27,635,3.75,141,25,35,159,0.25,0.055,38.1,7.1,4.45,22000000,16.90655301132259,23.51851851851852,-0.0101,0.0040000000000000036,0.528,0.098,3.98,17.132306660098845
1794,Aaron Sanchez,2018,0.262,0.304,0.337,0.356,0.266,106,405,2272,90.6,4,6,20,474,4.89,106,11,58,86,0.181,0.122,39,8.4,6.07,2700000,15.176487111099874,23.7,0.0079,0.01899999999999996,0.582,0.125,4.91,15.23991116400489
1792,Anthony DeSclafani,2018,0.266,0.298,0.336,0.317,0.251,118,443,2127,90.5,7,8,21,484,4.93,118,24,30,108,0.223,0.062,33.1,7,3.89,860000,14.569282360340654,23.047619047619047,0.0019,-0.019000000000000017,0.704,0.149,4.72,14.963086497212569
1419,Clay Buchholz,2018,0.22,0.256,0.269,0.309,0.252,80,363,2169,84.4,7,2,16,393,2.01,80,9,22,81,0.206,0.056,36.7,6.3,6.56,1500000,14.914122846632385,24.5625,-0.0401,0.03999999999999998,0.319,0.055,2.66,15.03181324994475
1404,Martin Perez,2018,0.329,0.345,0.39,0.369,0.299,116,353,2058,89.3,2,7,22,397,6.22,116,16,36,52,0.131,0.091,39.1,6.8,5.12,6000000,15.068273526459642,18.045454545454547,0.0489,-0.02100000000000002,0.915,0.159,5.8,15.661607252734843
3687,Trevor Bauer,2019,0.23,0.29,0.316,0.315,0.228,184,800,2456,87.1,9,8,24,664,3.79,127,22,63,185,0.279,0.095,37.7,8.6,1.73,13000000,16.67771143889374,27.666666666666668,-0.0061,-0.0010000000000000009,0.441,0.101,4.06,16.595195360304736
3553,Lance Lynn,2019,0.243,0.322,0.294,0.292,0.231,195,801,2436,91.9,16,11,33,875,3.67,195,21,59,246,0.281,0.067,33.8,5.9,3.32,9333333,16.24325876450056,26.515151515151516,0.0259,-0.0020000000000000018,0.622,0.109,3.77,16.100460686739588
3232,Marco Gonzales,2019,0.264,0.295,0.311,0.315,0.257,210,794,2246,84.3,16,13,34,866,3.99,210,23,56,147,0.17,0.065,35.2,4.9,3.1,900000,13.815510557964274,25.470588235294116,-0.0011,0.0040000000000000036,0.814,0.113,3.93,15.037883284006542
2992,Tanner Roark,2019,0.275,0.323,0.34,0.349,0.275,180,655,2184,87.9,6,7,21,484,4.24,119,14,38,108,0.223,0.079,37.3,8.4,6.8,10000000,16.300417207752275,23.047619047619047,0.0269,0.008999999999999952,0.505,0.114,4.39,16.21897465085659
2711,Brad Keller,2019,0.247,0.283,0.307,0.335,0.262,154,624,2294,90.6,7,14,28,709,4.19,154,15,70,122,0.172,0.099,38.6,5.9,2.47,578175,13.32612021491835,25.321428571428573,-0.0131,0.028000000000000025,0.71,0.109,4.23,14.670328272365328
2690,Anibal Sanchez,2019,0.236,0.266,0.296,0.316,0.254,153,647,2081,86.4,11,8,30,712,3.85,153,22,58,134,0.188,0.081,28.3,6.6,6.62,10000000,16.072633218742027,23.733333333333334,-0.0301,0.020000000000000018,0.583,0.136,3.8,16.236231993776943
2680,Zach Davies,2019,0.256,0.276,0.31,0.348,0.284,155,606,2118,85.1,10,7,31,672,3.55,155,20,51,102,0.152,0.076,33.3,7.2,2.73,2600000,15.473738634567807,21.677419354838708,-0.0201,0.03799999999999998,0.493,0.107,3.75,15.265178357618769
2616,German Marquez,2019,0.259,0.308,0.311,0.335,0.276,174,671,2348,91,12,5,28,721,4.76,174,29,35,175,0.243,0.049,43.1,7.9,3.75,1300000,15.38412647587812,25.75,0.0119,0.02400000000000002,0.603,0.11,4.87,14.970006048806447
2571,Zach Eflin,2019,0.268,0.295,0.325,0.313,0.251,172,642,2165,90.1,10,13,32,705,4.13,172,28,48,129,0.183,0.068,32.8,6.9,3.97,590000,14.780591454007862,22.03125,-0.0011,-0.01200000000000001,0.599,0.126,4.14,14.778798556033058
1979,Brandon Woodruff,2019,0.24,0.322,0.281,0.286,0.235,109,454,2181,93.1,11,3,22,493,3.62,109,12,30,143,0.29,0.061,30.2,4.1,3.05,561400,13.358383666532218,22.40909090909091,0.0259,0.004999999999999949,0.883,0.12,3.47,14.507902424404367
1233,Dinelson Lamet,2019,0.226,0.314,0.308,0.304,0.221,62,274,2516,91.4,3,5,14,313,4.07,62,12,30,105,0.335,0.096,34.1,8.1,2.09,566700,14.077874822431765,22.357142857142858,0.0179,-0.0040000000000000036,0.502,0.119,4.19,14.637973776179763
