yearID,W,ERA,RA
1978,88,3.41,637
1978,84,3.28,598
1978,56,4.67,834
1978,89,3.3,594
1978,69,3.58,657
1978,87,3.36,632
1978,59,4.54,775
1979,66,4.18,763
1979,102,3.26,582
1979,91,4.03,711
1979,88,4.34,768
1979,73,4.1,748
1979,80,3.88,707
1979,90,3.58,644
1979,81,4.57,805
1979,85,4.27,738
1979,89,3.2,582
1979,85,4.45,816
1979,79,3.83,717
1979,82,4.13,725
1979,95,4.03,722
1979,95,3.14,581
1979,89,3.83,672
1979,63,3.84,706
1979,54,4.75,860
1979,84,4.16,718
1979,98,3.41,643
1979,68,3.69,681
1979,67,4.58,820
1979,71,4.16,751
1979,86,3.72,693
1979,83,3.86,698
1979,53,4.82,862
1980,81,3.77,660
1980,100,3.64,640
1980,83,4.38,767
1980,65,4.52,797
1980,70,3.92,722
1980,64,3.89,728
1980,89,3.85,670
1980,79,4.68,807
1980,84,4.25,757
1980,93,3.1,589
1980,97,3.83,694
1980,92,3.25,591
1980,77,3.93,724
1980,86,3.71,682
1980,90,3.48,629
1980,103,3.58,662
1980,67,3.85,702
1980,83,3.46,642
1980,91,3.43,639
1980,83,3.58,646
1980,73,3.65,654
1980,59,4.38,793
1980,75,3.46,634
1980,74,3.93,710
1980,76,4.02,752
1980,67,4.19,762
1981,50,3.45,416
1981,59,3.7,437
1981,59,3.81,481
1981,51,3.7,453
1981,54,3.47,423
1981,38,4.01,483
1981,66,3.73,440
1981,52,3.88,442
1981,60,3.53,404
1981,61,2.66,331
1981,50,3.56,405
1981,63,3.01,356
1981,41,3.98,486
1981,62,3.91,459
1981,60,3.3,394
1981,59,2.9,343
1981,41,3.55,432
1981,64,3.3,403
1981,59,4.05,472
1981,46,3.56,425
1981,41,3.72,455
1981,44,4.23,521
1981,56,3.28,414
1981,59,3.63,417
1981,57,3.4,389
1981,37,3.81,466
1982,89,3.82,702
1982,94,3.99,687
1982,89,4.03,713
1982,93,3.82,670
1982,87,3.87,710
1982,73,3.92,709
1982,61,3.66,661
1982,78,4.11,748
1982,83,3.8,685
1982,77,3.42,620
1982,90,4.08,717
1982,88,3.26,612
1982,60,4.72,819
1982,95,3.98,717
1982,86,3.31,616
1982,79,3.99,716
1982,65,3.88,723
1982,68,4.54,819
1982,89,3.61,654
1982,84,3.81,696
1982,81,3.52,658
1982,76,3.88,712
1982,87,3.64,687
1982,92,3.37,609
1982,64,4.28,749
1982,78,3.95,701
1983,88,3.67,640
1983,98,3.63,652
1983,78,4.34,775
1983,70,4.31,779
1983,99,3.67,650
1983,71,4.08,719
1983,74,3.98,710
1983,70,4.43,785
1983,92,3.8,679
1983,85,3.45,646
1983,79,4.25,767
1983,91,3.1,609
1983,70,4.66,822
1983,87,4.02,708
1983,82,3.58,646
1983,91,3.86,703
1983,68,3.68,680
1983,74,4.34,782
1983,90,3.34,635
1983,84,3.55,648
1983,81,3.62,653
1983,60,4.12,740
1983,79,3.7,697
1983,79,3.79,710
1983,77,3.31,609
1983,89,4.12,726
1984,80,3.57,655
1984,85,3.71,667
1984,86,4.18,764
1984,81,3.96,697
1984,74,4.13,736
1984,96,3.75,658
1984,70,4.16,747
1984,75,4.26,766
1984,104,3.49,643
1984,80,3.32,630
1984,84,3.92,686
1984,79,3.17,600
1984,81,3.85,675
1984,67,4.06,734
1984,78,3.31,585
1984,87,3.78,679
1984,90,3.6,676
1984,77,4.48,796
1984,81,3.62,690
1984,75,3.11,567
1984,92,3.48,634
1984,74,4.31,774
1984,66,4.39,807
1984,84,3.58,645
1984,69,3.91,714
1984,89,3.86,696
1985,66,4.19,781
1985,83,4.38,764
1985,81,4.06,720
1985,90,3.91,703
1985,85,4.07,720
1985,77,4.16,729
1985,89,3.71,666
1985,60,4.91,861
1985,84,3.78,688
1985,83,3.66,691
1985,91,3.49,639
1985,95,2.96,579
1985,77,4.48,782
1985,71,4.39,802
1985,84,3.55,636
1985,97,3.69,660
1985,98,3.11,568
1985,77,4.41,787
1985,75,3.68,673
1985,57,3.97,708
1985,83,3.4,622
1985,74,4.68,818
1985,62,3.61,674
1985,101,3.1,572
1985,62,4.56,785
1985,99,3.31,588
1986,72,3.97,719
1986,73,4.3,760
1986,95,3.93,696
1986,92,3.84,684
1986,72,3.93,699
1986,70,4.49,781
1986,86,3.91,717
1986,84,4.58,841
1986,87,4.02,714
1986,96,3.15,569
1986,76,3.82,673
1986,73,3.76,679
1986,71,4.77,839
1986,77,4.01,734
1986,78,3.78,688
1986,90,4.11,738
1986,108,3.11,578
1986,76,4.31,760
1986,86,3.85,713
1986,64,3.9,700
1986,74,3.99,723
1986,67,4.65,835
1986,83,3.33,618
1986,79,3.37,611
1986,87,4.11,743
1986,86,4.08,733
1987,69,4.63,829
1987,67,5.01,880
1987,78,4.77,825
1987,75,4.38,803
1987,77,4.3,746
1987,76,4.55,801
1987,84,4.24,752
1987,61,5.28,957
