Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,Spin Rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K %,BB %,Hard Hit %,Barrel %,ERA (t+1),xwOBA - wOBA,BFP/G,Luck Adjusted ERA
863,2019,0.216,0.252,0.269,0.282,0.236,44,204,2501,87.5,3,4,10,227,2.34,44,4,16,46,0.203,0.07,32.9,2.4,4.74,0.012999999999999956,22.7,2.4628557328361054
1892,2019,0.237,0.257,0.315,0.353,0.278,102,430,1974,89.1,8,6,21,475,3.81,102,19,40,88,0.185,0.084,38.7,8.1,2.28,0.03799999999999998,22.61904761904762,4.096044621564552
2373,2019,0.259,0.319,0.323,0.332,0.271,147,567,2150,91.2,11,8,26,637,3.84,147,19,56,150,0.235,0.088,43.8,5.9,6.69,0.009000000000000008,24.5,4.069621428352081
2616,2019,0.259,0.308,0.311,0.335,0.276,174,671,2348,91,12,5,28,721,4.76,174,29,35,175,0.243,0.049,43.1,7.9,3.75,0.02400000000000002,25.75,4.880724065531079
1780,2019,0.296,0.31,0.372,0.366,0.292,126,426,2173,89,3,11,22,473,6.73,126,25,39,79,0.167,0.082,40.1,8.8,4.33,-0.006000000000000005,21.5,6.371628499232489
2237,2019,0.313,0.336,0.373,0.367,0.3,161,514,2116,89.8,11,11,25,582,6.71,161,19,57,76,0.131,0.098,44,6.1,3.44,-0.006000000000000005,23.28,6.231141541976786
2661,2019,0.267,0.333,0.329,0.335,0.258,154,576,2365,90.4,3,17,30,656,4.61,154,14,59,146,0.223,0.09,40.7,6.7,3.97,0.006000000000000005,21.866666666666667,4.654958692161698
3113,2019,0.228,0.274,0.263,0.288,0.243,175,767,2245,85.3,10,4,23,562,2.9,117,15,21,135,0.24,0.037,33.3,6.3,4.03,0.024999999999999967,24.434782608695652,3.2631174183040272
3362,2019,0.186,0.276,0.246,0.241,0.185,142,762,2559,92.4,20,5,33,817,2.5,142,29,48,326,0.399,0.059,35.5,5.9,2.84,-0.0050000000000000044,24.757575757575758,2.9959011792124897
2161,2019,0.251,0.285,0.323,0.346,0.264,125,498,2269,87.7,7,6,23,555,4.34,125,21,46,115,0.207,0.083,37.8,7.5,4.95,0.022999999999999965,24.130434782608695,4.444685554214468
2711,2019,0.247,0.283,0.307,0.335,0.262,154,624,2294,90.6,7,14,28,709,4.19,154,15,70,122,0.172,0.099,38.6,5.9,2.47,0.028000000000000025,25.321428571428573,4.2459263387761315
1689,2019,0.251,0.312,0.325,0.319,0.238,93,370,2448,87.8,4,6,18,409,4.91,93,20,30,118,0.289,0.073,39.4,9.8,4.46,-0.006000000000000005,22.72222222222222,5.002570986283281
1552,2019,0.235,0.281,0.312,0.306,0.223,80,341,2314,89.9,5,6,18,384,4.58,80,14,30,96,0.25,0.078,32.4,7.6,3.99,-0.006000000000000005,21.333333333333332,4.502271520045986
714,2019,0.24,0.293,0.322,0.334,0.259,35,146,2014,87.5,0,4,10,169,5.03,35,6,19,42,0.249,0.112,34.6,5.6,5.65,0.01200000000000001,16.9,4.730367268746702
2672,2019,0.222,0.267,0.281,0.296,0.235,145,654,2547,86.2,16,5,29,706,3.03,145,28,41,189,0.268,0.058,34.1,6.8,2.16,0.014999999999999958,24.344827586206897,3.3896298404670144
966,2019,0.223,0.284,0.292,0.271,0.204,48,215,2665,82.7,4,1,13,242,2.45,48,10,18,72,0.298,0.074,27.7,4.7,3.03,-0.020999999999999963,18.615384615384617,2.766125398727572
3091,2019,0.241,0.274,0.308,0.327,0.248,179,743,2347,91.5,6,14,32,838,3.88,179,23,81,151,0.18,0.097,34.3,6.5,3,0.019000000000000017,26.1875,3.985511471424542
1796,2019,0.261,0.303,0.318,0.327,0.26,111,425,2089,89.2,5,8,21,469,5.09,111,15,27,95,0.203,0.058,36.9,7.4,3.61,0.009000000000000008,22.333333333333332,4.974916316770494
2680,2019,0.256,0.276,0.31,0.348,0.284,155,606,2118,85.1,10,7,31,672,3.55,155,20,51,102,0.152,0.076,33.3,7.2,2.73,0.03799999999999998,21.677419354838708,3.7631248178188237
1501,2019,0.234,0.282,0.304,0.328,0.253,76,325,2099,84.7,3,2,19,366,3.5,76,9,37,78,0.213,0.101,31.2,6.8,4.83,0.02400000000000002,19.263157894736842,3.6664772092924234
1979,2019,0.24,0.322,0.281,0.286,0.235,109,454,2181,93.1,11,3,22,493,3.62,109,12,30,143,0.29,0.061,30.2,4.1,3.05,0.004999999999999949,22.40909090909091,3.4903908714889242
2764,2019,0.275,0.333,0.333,0.338,0.273,175,637,2156,88.4,13,7,34,706,4.84,175,23,56,160,0.227,0.079,37.8,7.5,5.35,0.0050000000000000044,20.764705882352942,4.817546118666561
2772,2019,0.279,0.318,0.334,0.312,0.25,184,659,2114,89.7,10,7,32,737,5.12,184,23,67,135,0.183,0.091,29.7,5.3,4.5,-0.02200000000000002,23.03125,4.6022732726662525
3132,2019,0.251,0.301,0.3,0.31,0.248,194,774,2136,87.8,14,8,32,842,3.68,194,26,51,195,0.232,0.061,32,6.5,4,0.010000000000000009,26.3125,3.793335951252017
2787,2019,0.261,0.293,0.314,0.322,0.265,186,713,2072,86.6,11,9,32,759,4.45,186,28,40,149,0.196,0.053,37.7,6,3.56,0.008000000000000007,23.71875,4.427017798619792
3297,2019,0.207,0.285,0.25,0.256,0.207,154,745,2302,94,11,8,32,804,2.43,154,19,44,255,0.317,0.055,30.8,5,2.38,0.006000000000000005,25.125,2.8270301843541144
2992,2019,0.275,0.323,0.34,0.349,0.275,180,655,2184,87.9,6,7,21,484,4.24,119,14,38,108,0.223,0.079,37.3,8.4,6.8,0.008999999999999952,23.047619047619047,4.400327970828473
2659,2019,0.265,0.28,0.308,0.353,0.287,181,682,1941,86.9,13,9,31,743,3.89,181,20,49,90,0.121,0.066,40,7.3,4.21,0.044999999999999984,23.967741935483872,4.1405251617059236
2430,2019,0.229,0.268,0.299,0.308,0.236,125,545,2183,89.1,10,5,28,612,3.81,125,21,47,141,0.23,0.077,31.7,5.1,2.29,0.009000000000000008,21.857142857142858,3.770887332804823
1485,2019,0.23,0.297,0.276,0.284,0.237,84,365,2273,92.7,9,2,16,394,2.63,84,8,23,103,0.261,0.058,34.8,3.8,5.6,0.007999999999999952,24.625,2.909159747113742
2192,2019,0.283,0.32,0.339,0.343,0.272,149,527,2209,89.6,8,8,24,594,4.64,149,21,51,110,0.185,0.086,37.6,6.8,5.08,0.0040000000000000036,24.75,4.624934232945623
3332,2019,0.233,0.297,0.304,0.315,0.239,176,755,2198,86.7,12,7,34,852,3.87,176,27,80,229,0.269,0.094,39.5,6.8,3.28,0.01100000000000001,25.058823529411764,4.090168521047832
2571,2019,0.268,0.295,0.325,0.313,0.251,172,642,2165,90.1,10,13,32,705,4.13,172,28,48,129,0.183,0.068,32.8,6.9,3.97,-0.01200000000000001,22.03125,4.150958605907647
2327,2019,0.284,0.308,0.351,0.35,0.278,162,571,2114,88.5,7,9,26,636,5.38,162,27,44,113,0.178,0.069,35.6,8.3,6.18,-0.0010000000000000009,24.46153846153846,5.20831088783645
