player_name,pitch_category,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA
Charlie Morton,Off-speed,426,84.2,84.2,2549.2, 0.272,-0.150,0.002,0.280,0.439,0.333,0.345
Chase Anderson,Fastball,224,92.4,91.7,2185.8,-0.527,1.463,0.004,0.386,0.895,0.424,0.564
Chase Anderson,Off-speed,428,83.5,82.7,2271.6,-0.335,0.393,0.002,0.267,0.442,0.328,0.343
Chasen Shreve,Fastball,216,91.7,91.8,2398.9,0.866,1.502,0.005,0.206,0.529,0.148,0.360
Chasen Shreve,Off-speed,206,82.8,83.3,1437.3,0.828,0.284,0.005,0.182,0.273,0.360,0.246
Chaz Roe,Off-speed,150,83.7,83.3,2804.7,0.991,0.051,0.007,0.303,0.424,0.400,0.366
Chi Chi Gonzalez,Fastball,164,92.2,92.2,2356.6,-0.181,0.878,0.006,0.250,0.438,0.292,0.375
Chi Chi Gonzalez,Off-speed,183,87.3,87.2,2261.2,-0.358,0.329,0.005,0.326,0.558,0.364,0.449
Chris Bassitt,Fastball,156,93.3,93.6,2159.9,-0.651,1.235,0.006,0.167,0.222,0.375,0.179
Chris Bassitt,Off-speed,790,87.1,87.3,2130.2,-0.589,0.585,0.001,0.246,0.399,0.270,0.319
Chris Martin,Off-speed,269,89.3,89.3,2172.6,-0.044,0.601,0.004,0.133,0.200,0.175,0.174
Chris Mazza,Off-speed,447,87.1,88.2,2140.6,-0.097,0.305,0.002,0.293,0.444,0.338,0.378
Chris Paddack,Fastball,560,94.1,95.1,2169.9,-0.822,1.357,0.002,0.308,0.658,0.314,0.436
Chris Paddack,Off-speed,403,83.0,83.8,1873.8,-0.750,0.249,0.002,0.211,0.358,0.260,0.266
Chris Stratton,Fastball,254,93.2,94.1,2627.1,-0.357, 1.281,0.004,0.204,0.306,0.346,0.303
Chris Stratton,Off-speed,293,84.6,85.3,2824.8, 0.451,-0.097,0.003,0.239,0.388,0.280,0.279
Clayton Kershaw,Fastball,365,91.6,83.4,2483.9,-0.047,1.637,0.003,0.203,0.453,0.188,0.310
Clayton Kershaw,Off-speed,523,83.5,74.9,2631.4,-0.374,0.039,0.002,0.190,0.327,0.255,0.238
Codi Heuer,Off-speed,364,94.3,96.0,2291.8,-0.863,0.769,0.003,0.150,0.212,0.204,0.212
Cody Ponce,Off-speed,167,85.1,85.7,2369.6,0.020,0.222,0.006,0.233,0.605,0.200,0.369
