player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,SO,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Fernando Abad,660,84.07257575757576,82.71502276176024,2253.7920489296635,0.3925757575757576,0.7922727272727272,0.0015151515151515152,32,0.2191780821917808,0.3424657534246575,0.1958041958041958,0.29298780487804876,472551,1250000,2016
Fernando Rodney,956,89.84801255230126,89.31041445270988,1936.1956989247312,-1.2202928870292886,1.0496861924686192,0.0010460251046025104,62,0.23039215686274508,0.3333333333333333,0.21393034825870647,0.3166666666666667,407845,1600000,2016
Fernando Rodriguez Jr.,660,91.48363636363636,90.68363636363637,2337.9506933744224,-0.1984848484848485,1.2877272727272728,0.0015151515151515152,37,0.2097902097902098,0.32867132867132864,0.19148936170212766,0.2869135802469135,451775,1050000,2016
Fernando Salas,1092,88.91263736263737,87.7752995391705,2080.2075829383884,-0.5238095238095238,1.3694139194139194,9.157509157509158e-4,53,0.23577235772357724,0.42276422764227645,0.19831223628691982,0.31078651685393266,477569,2400000,2016
Francisco Liriano,2457,89.74415954415954,89.38541581319132,2028.164907651715,0.8114774114774115,0.8316239316239317,4.07000407000407e-4,147,0.25539568345323743,0.42985611510791366,0.21973929236499068,0.3516043613707165,434538,13666667,2016
Francisco Rodriguez,846,85.79940898345154,85.6474435196195,2014.0071684587813,-0.8163120567375887,0.9743498817966904,0.001182033096926714,49,0.2193877551020408,0.37244897959183676,0.19270833333333334,0.29074418604651164,408061,7383481,2016
Garrett Richards,615,93.11934959349594,91.50402684563758,2505.390566037736,-0.3258536585365854,0.7341463414634146,0.0016260162601626016,34,0.23846153846153847,0.36153846153846153,0.2265625,0.30951724137931036,572070,6425000,2016
George Kontos,697,88.57790530846485,88.10207715133531,2305.96699669967,-0.24820659971305595,0.7410329985652798,0.0014347202295552368,32,0.2235294117647059,0.3411764705882353,0.20481927710843373,0.28679347826086954,502004,1150000,2016
Gio Gonzalez,2730,87.3285347985348,86.80712401055409,2261.7114068441065,0.6623076923076923,0.7287179487179487,3.663003663003663e-4,148,0.2612312811980033,0.39767054908485855,0.23809523809523808,0.33063157894736844,461829,12100000,2016
Hector Rondon,747,93.08781793842034,93.26456582633053,2080.6886446886447,-0.48714859437751007,0.9376171352074967,0.0013386880856760374,58,0.21348314606741572,0.34269662921348315,0.1839080459770115,0.2678835978835979,444468,4200000,2016
Hector Santiago,2918,88.47419465387252,86.4340932642487,2185.6915387361655,0.9406100068540096,1.3436943111720356,3.427004797806717e-4,138,0.22903225806451613,0.41935483870967744,0.18959731543624161,0.32957507082152976,502327,5000000,2016
